AREA,AVG_INCOME_2006,AVG_VALUE_DWELLINGS_2006,POSTSECONDARY_PCT_2006,MANAGEMENT_PCT_2006,AVG_INCOME_2016,AVG_VALUE_DWELLINGS_2016,POSTSECONDARY_PCT_2016,MANAGEMENT_PCT_2016,SCORE_2006,SCORE_2016
Arbutus-Ridge,48496,903780,0.6527212143650499,0.16229624379872432,62675,2500033,0.6495595557257756,0.19335793357933578,0.08782665692197657,1.8048750979999406
Downtown,43365,563128,0.6850473186119874,0.17548032936870997,63251,941493,0.7671432474273746,0.17768336873672372,-0.1761658215888266,0.7119133894564923
Dunbar-Southlands,59270,985837,0.7041606886657101,0.16367713004484305,78117,3026785,0.6913996627318718,0.17603911980440098,0.48446913681979276,2.551345350665691
Fairview,45491,430372,0.7608325449385052,0.14299876084262703,61627,761230,0.7923651452282158,0.13800705467372135,-0.25653472422108703,0.39003776463154266
Grandview-Woodland,26713,416736,0.5462339252908757,0.07548240635641316,42896,899002,0.6256994018907969,0.10015690376569038,-1.3695764088228595,-0.37863967041443825
Hastings-Sunrise,26916,548064,0.44852411807055437,0.06978068926231842,38258,1266054,0.4700782046922815,0.09088500264970853,-1.4576677835657248,-0.5031698551618705
Kensington-Cedar Cottage,25757,538034,0.4603559870550162,0.06529073228815241,38411,1214877,0.5217131235793755,0.07901106500691563,-1.4916047584626855,-0.5067232611676733
Kerrisdale,66543,1115764,0.6748392282958199,0.17050067658998647,77248,2879632,0.6608623548922057,0.15793588741204065,0.7278510596035008,2.277162162584122
Killarney,29210,502674,0.5478030470302495,0.08729874776386404,39013,1097209,0.5446808510638298,0.09577922077922078,-1.188320969987294,-0.4678306562108868
Kitsilano,45444,642914,0.7541387330688193,0.1372618207480593,63092,1327707,0.7667100130039012,0.14139663836423497,-0.12772319521856737,0.8427105305872471
Marpole,30099,654299,0.6216687422166874,0.0997643362136685,39020,1695892,0.6048632218844985,0.10953800298062594,-0.8614759952210079,0.17655713758100702
Mount Pleasant,30021,404175,0.6296920115495669,0.07481693728112067,54260,803459,0.7471343028229256,0.13023450586264657,-1.16530924476473,0.14710608678540857
Oakridge,38465,883621,0.602745995423341,0.18298261665141813,46515,2414767,0.614578786556089,0.15780296425457715,-0.13680206317482763,1.1552018592294429
Renfrew-Collingwood,25102,494185,0.46680472651967353,0.06437183975106962,33360,1099509,0.4821646849649961,0.07587982832618026,-1.533836087190835,-0.7921888880529719
Riley Park,33588,635018,0.627053669222344,0.10220440881763528,53060,1695195,0.6596361718955972,0.11178476695718075,-0.7795726849254374,0.5888991555975193
Shaughnessy,126310,1422043,0.687458081824279,0.18374164810690424,118668,3247312,0.6971046770601337,0.19796954314720813,2.362541942663433,3.7266760954106983
South Cambie,42155,737285,0.7280625543006082,0.12484848484848485,65459,1907007,0.7181259600614439,0.1347678369195923,-0.228719309836451,1.2381694912451957
Strathcona,18434,459923,0.3715415019762846,0.060897435897435896,31534,845567,0.4676503972758229,0.10485651214128035,-1.8887798902733215,-0.9219848509056635
Sunset,24322,581122,0.45471894517696043,0.05333333333333334,34212,1456880,0.4845226458129684,0.06873449131513648,-1.555047137451064,-0.519783920335327
Victoria-Fraserview,25669,607081,0.4514483884128927,0.07700170357751278,34298,1441615,0.4468608169440242,0.07596899224806201,-1.3989908660805062,-0.5613048042199466
West End,35016,406894,0.7071927953548999,0.11848341232227488,47253,670773,0.7482962797452799,0.13167312854160454,-0.7131759151911159,-0.10258279108514967
West Point Grey,62018,1078609,0.7323943661971831,0.15037593984962405,82042,2830724,0.7170665459483929,0.13271604938271606,0.6044367273156136,2.3218918266546615
Vancouver CMA,36123,520937,0.5567983063082599,0.11145829771227302,46821,1005920,0.5751847196692846,0.11553868626062323,-0.8929813759011639,-0.22317854232185336
